userId,imdbId,rating
1,0114709,4.0
1,0113228,4.0
1,0113277,4.0
1,0114369,5.0
1,0114814,5.0
1,0116367,3.0
1,0115734,5.0
1,0112573,4.0
1,0114287,5.0
1,0109370,5.0
1,0112851,5.0
1,0112508,5.0
1,0109445,3.0
1,0109686,5.0
1,0109707,4.0
1,0076759,5.0
1,0110912,3.0
1,0111282,3.0
1,0114694,5.0
1,0109444,4.0
1,0109830,4.0
1,0110213,5.0
1,0110475,4.0
1,0109303,3.0
1,0106677,4.0
1,0106977,5.0
1,0107290,4.0
1,0107614,3.0
1,0108052,5.0
1,0108174,4.0
1,0108333,4.0
1,0108358,5.0
1,0099348,4.0
1,0096895,4.0
1,0102926,4.0
1,0032910,5.0
1,0116282,5.0
1,0117060,3.0
1,0116683,5.0
1,0117705,3.0
1,0117500,4.0
1,0117998,3.0
1,0116629,3.0
1,0117628,4.0
1,0032138,5.0
1,0033467,5.0
1,0029843,5.0
1,0039420,4.0
1,0031679,5.0
2,0111161,3.0
2,0114694,4.0
3,0112792,0.5
3,0108052,0.5
3,0115956,0.5
3,0114048,0.5
3,0118114,0.5
3,0116225,5.0
3,0058385,0.5
4,0113161,3.0
4,0114746,2.0
4,0114681,3.0
4,0114369,2.0
4,0113819,3.0
4,0110877,3.0
4,0110251,4.0
4,0116324,5.0
4,0110647,1.0
4,0109508,5.0
4,0113464,3.0
4,0113677,5.0
4,0114323,2.0
4,0112471,5.0
4,0112679,1.0
4,0111797,5.0
4,0109707,2.0
4,0110005,3.0
4,0076759,5.0
4,0103994,5.0
4,0110912,1.0
4,0111149,5.0
4,0110598,5.0
4,0109045,4.0
4,0109348,4.0
4,0109484,3.0
4,0109831,3.0
4,0110478,4.0
4,0109219,2.0
4,0106677,1.0
4,0111732,2.0
4,0106977,5.0
4,0107207,5.0
4,0107507,5.0
4,0107822,1.0
4,0108149,5.0
4,0108160,1.0
4,0108358,2.0
4,0103639,4.0
4,0102926,5.0
4,0101414,3.0
4,0065214,2.0
4,0116282,5.0
4,0117060,3.0
4,0117979,4.0
4,0110480,3.0
4,0116905,4.0
4,0117991,4.0
4,0032904,5.0
4,0045152,4.0
4,0054698,4.0
4,0047396,4.0
4,0053125,5.0
4,0053291,5.0
4,0034583,5.0
4,0058385,5.0
4,0032138,5.0
4,0031381,5.0
4,0038787,5.0
4,0050658,3.0
5,0114709,4.0
5,0113161,4.0
5,0112431,4.0
5,0112818,4.0
5,0112697,3.0
5,0114814,4.0
5,0110877,5.0
5,0112573,4.0
5,0112384,3.0
5,0112462,3.0
5,0111797,4.0
5,0110005,5.0
5,0110148,3.0
5,0110367,4.0
5,0103994,3.0
5,0110322,1.0
5,0110729,5.0
5,0110912,5.0
5,0110932,3.0
5,0111282,2.0
5,0111161,3.0
5,0109040,3.0
5,0109444,3.0
5,0109831,2.0
5,0110357,3.0
